filepath,filename,coupling,interaction_class,potential,source,sector,contains_antimatter,label
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Hoskins_1985.csv,Hoskins_1985,V1,V1_alpha_data,V1,Hoskins1985,nn,False,Hoskins1985 (n-n)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Kapner_2007.csv,Kapner_2007,V1,V1_alpha_data,V1,Kapner2007,ee,False,Kapner2007 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/neutron_scattering.csv,neutron_scattering,V1,V1_alpha_data,V1,neutron,nn,False,neutron (n-n)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Chen_2016.csv,Chen_2016,V1,V1_alpha_data,V1,Chen2016,ee,False,Chen2016 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Colliders.csv,Colliders,V1,V1_alpha_data,V1,Colliders,ee,False,Colliders (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Salumbides_antipHe_2014.csv,Salumbides_antipHe_2014,V1,V1_alpha_data,V1,Salumbides2014,antipHe,False,Salumbides2014 (p̄-He)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Salumbides_ddmu_2014.csv,Salumbides_ddmu_2014,V1,V1_alpha_data,V1,Salumbides2014,ddmu,False,Salumbides2014 (dd-μ)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Tan_2020.csv,Tan_2020,V1,V1_alpha_data,V1,Tan2020,ee,False,Tan2020 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Lee_2020.csv,Lee_2020,V1,V1_alpha_data,V1,Lee2020,nn,False,Lee2020 (n-n)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Bordag_2001.csv,Bordag_2001,V1,V1_alpha_data,V1,Bordag2001,ee,False,Bordag2001 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Alighanbari_2020.csv,Alighanbari_2020,V1,V1_alpha_data,V1,Alighanbari2020,ep,False,Alighanbari2020 (e-p)
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/lepton-nucleon/eNastro_m_abs.csv,eNastro_m_abs,gpgp,lepton-nucleon,UNKNOWN,eNastro,eNastro,False,eNastro (e-N (astro))
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/lepton-nucleon/3Fadeev_2022_5_m_abs_ep.csv,3Fadeev_2022_5_m_abs_ep,gpgp,lepton-nucleon,V2+3,Fadeev2022,ep,False,Fadeev2022 (e-p)
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/lepton-nucleon/Wang_2022_m_abs_en.csv,Wang_2022_m_abs_en,gpgp,lepton-nucleon,UNKNOWN,Wang2022,en,False,Wang2022 (e-n)
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/lepton-nucleon/Ficek_2018_m_abs_epbar.csv,Ficek_2018_m_abs_epbar,gpgp,lepton-nucleon,UNKNOWN,Ficek2018,epbar,True,Ficek2018 (e-p̄)
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/lepton-nucleon/Almasi_2020_m_abs_en.csv,Almasi_2020_m_abs_en,gpgp,lepton-nucleon,UNKNOWN,Almasi2020,en,False,Almasi2020 (e-n)
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/nucleon-nucleon/NNastro_m_abs.csv,NNastro_m_abs,gpgp,nucleon-nucleon,UNKNOWN,NNastro,NNastro,False,NNastro (N-N (astro))
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/nucleon-nucleon/Ramsey_1979_m_abs_np.csv,Ramsey_1979_m_abs_np,gpgp,nucleon-nucleon,UNKNOWN,Ramsey1979,np,False,Ramsey1979 (n-p)
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/nucleon-nucleon/Kimball_2010_m_abs_np.csv,Kimball_2010_m_abs_np,gpgp,nucleon-nucleon,UNKNOWN,Kimball2010,np,False,Kimball2010 (n-p)
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/nucleon-nucleon/Vasilakis_2009_m_abs_nn.csv,Vasilakis_2009_m_abs_nn,gpgp,nucleon-nucleon,UNKNOWN,Vasilakis2009,nn,False,Vasilakis2009 (n-n)
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/nucleon-nucleon/Ledbetter_2013_m_abs_pN.csv,Ledbetter_2013_m_abs_pN,gpgp,nucleon-nucleon,UNKNOWN,Ledbetter2013,pN,False,Ledbetter2013 (p-N)
